index,node,cnt
274,110077,4
275,108858,4
276,112631,4
277,108606,4
278,108484,4
279,110313,4
280,108598,4
281,108590,4
282,1740283,4
283,109299,4
284,1766914,4
285,109265,4
286,109827,4
287,109635,4
288,109777,4
289,109838,4
290,1504839,4
291,109540,4
292,109450,4
293,109311,4
294,109905,4
295,109908,4
296,109934,4
297,112805,4
298,112677,4
299,2413967,4
300,109463,4
301,108613,4
302,112448,4
303,110662,4
304,108489,4
305,110926,4
306,107978,4
307,757025,4
308,107980,4
309,111000,4
310,107705,4
311,110979,4
312,107668,4
313,1512718,4
314,118157,4
315,107685,4
316,107663,4
317,111175,4
318,107872,4
319,108264,4
320,107964,4
321,107934,4
322,110959,4
323,112848,4
324,108432,4
325,110676,4
326,798076,4
327,108330,4
328,112457,4
329,121165,4
330,108166,4
331,108220,4
332,108138,4
333,110692,4
334,108137,4
335,110698,4
336,110771,4
337,509653,4
338,1693796,4
339,2455763,4
340,103367,4
341,103791,4
342,104200,4
343,103481,4
344,1997012,4
345,103379,4
346,103772,4
347,104786,4
348,103264,4
349,100711,4
350,104272,4
351,101079,4
352,96594,4
353,103624,4
354,103870,4
355,103842,4
356,94091,4
357,104822,4
358,104894,4
359,101097,4
360,97290,4
361,103099,4
362,104490,4
363,100694,4
364,102167,4
365,100759,4
366,105232,4
367,103902,4
368,85440,4
369,108985,4
370,85451,4
371,104540,4
372,103875,4
373,104322,4
374,102353,4
375,104523,4
376,100926,4
377,101824,4
378,103950,4
379,104473,4
380,101773,4
381,104709,4
382,103563,4
383,99113,4
384,104537,4
385,102601,4
386,103442,4
387,110873,3
388,118205,3
389,679984,3
390,107689,3
391,104407,3
392,112173,3
393,104422,3
394,112205,3
395,358983,3
396,107793,3
397,110824,3
398,112119,3
399,109303,3
400,3598878,3
401,102987,3
402,107951,3
403,107944,3
404,111094,3
405,1355298,3
406,104373,3
407,107824,3
408,112088,3
409,1357440,3
410,107917,3
411,112042,3
412,109499,3
413,109380,3
414,100061,3
415,109514,3
416,112122,3
417,503094,3
418,1769614,3
419,107701,3
420,313449,3
421,112204,3
422,118106,3
423,107256,3
424,112417,3
425,112478,3
426,107182,3
427,109510,3
428,112485,3
429,106037,3
430,107184,3
431,97966,3
432,1421177,3
433,110762,3
434,778653,3
435,1639606,3
436,104504,3
437,107160,3
438,112646,3
439,107083,3
440,109573,3
441,107084,3
442,107009,3
443,109570,3
444,107045,3
445,96205,3
446,109532,3
447,109537,3
448,108712,3
449,1788361,3
450,109330,3
451,112197,3
452,107553,3
453,107606,3
454,107636,3
455,112293,3
456,109430,3
457,108160,3
458,107481,3
459,107487,3
460,109515,3
461,403793,3
462,107480,3
463,109462,3
464,89476,3
465,110794,3
466,109405,3
467,112331,3
468,98854,3
469,1518899,3
470,121158,3
471,112324,3
472,107367,3
473,2467058,3
474,2448649,3
475,118298,3
476,2276935,3
477,118381,3
478,111208,3
479,108751,3
480,103962,3
481,102474,3
482,2104677,3
483,536025,3
484,112049,3
485,552329,3
486,99426,3
487,108571,3
488,108566,3
489,108838,3
490,108967,3
491,108581,3
492,1743723,3
493,104139,3
494,103923,3
495,2002893,3
496,104038,3
497,108969,3
498,108541,3
499,2513954,3
500,109012,3
501,111503,3
502,101558,3
503,101997,3
504,111373,3
505,796231,3
506,1117033,3
507,1116541,3
508,2105795,3
509,111293,3
510,109241,3
511,102294,3
512,111364,3
513,108961,3
514,109008,3
515,111356,3
516,108990,3
517,108650,3
518,108768,3
519,111415,3
520,109027,3
521,103887,3
522,111499,3
523,111717,3
524,102436,3
525,108987,3
526,111480,3
527,111491,3
528,2188188,3
529,111628,3
530,101912,3
531,107933,3
532,1535858,3
533,145843,3
534,2362457,3
535,101164,3
536,77895,3
537,103697,3
538,111904,3
539,111893,3
540,104241,3
541,108114,3
542,2459422,3
543,104453,3
544,109308,3
545,111863,3
546,111917,3
547,112052,3
548,104545,3
549,108100,3
550,1780609,3
551,109513,3
552,102656,3
553,107960,3
554,107969,3
555,1376478,3
556,111986,3
557,110032,3
558,1567782,3
559,1503668,3
560,1269282,3
561,108556,3
562,536516,3
563,100240,3
564,102703,3
565,108416,3
566,108427,3
567,108429,3
568,1859792,3
569,111657,3
570,109067,3
571,102770,3
572,111159,3
573,108283,3
574,111164,3
575,108471,3
576,111750,3
577,111630,3
578,111115,3
579,108538,3
580,101643,3
